h,f
2.000000,0.000000
2.004000,0.000000
2.008000,0.000000
2.012000,0.000000
2.016000,0.000000
2.020000,0.000000
2.024000,0.000000
2.028000,0.000000
2.032000,0.000000
2.036000,0.000000
2.040000,0.000000
2.044000,0.000000
2.048000,0.000000
2.052000,0.000000
2.056000,0.000000
2.060000,0.000000
2.064000,0.000000
2.068000,0.000000
2.072000,0.000000
2.076000,0.000000
2.080000,0.000000
2.084000,0.000000
2.088000,0.000000
2.092000,0.000000
2.096000,0.000000
2.100000,0.000000
2.104000,0.000000
2.108000,0.000000
2.112000,0.000000
2.116000,0.000000
2.120000,0.000000
2.124000,0.000000
2.128000,0.000000
2.132000,0.000000
2.136000,0.000000
2.140000,0.000000
2.144000,0.000000
2.148000,0.000000
2.152000,0.000000
2.156000,0.000000
2.160000,0.000000
2.164000,0.000000
2.168000,0.000000
2.172000,0.000000
2.176000,0.000000
2.180000,0.000000
2.184000,0.000000
2.188000,0.000000
2.192000,0.000000
2.196000,0.000000
2.200000,0.000000
2.204000,0.000000
2.208000,0.000000
2.212000,0.000000
2.216000,0.000000
2.220000,0.000000
2.224000,0.000000
2.228000,0.000000
2.232000,0.000000
2.236000,0.000000
2.240000,0.000000
2.244000,0.000000
2.248000,0.000000
2.252000,0.000000
2.256000,0.000000
2.260000,0.000000
2.264000,0.000000
2.268000,0.000000
2.272000,0.000000
2.276000,0.000000
2.280000,0.000000
2.284000,0.000000
2.288000,0.000000
2.292000,0.000000
2.296000,0.000000
2.300000,0.000000
2.304000,0.000000
2.308000,0.000000
2.312000,0.000000
2.316000,0.000000
2.320000,0.000000
2.324000,0.000000
2.328000,0.000000
2.332000,0.000000
2.336000,0.000000
2.340000,0.000000
2.344000,0.000000
2.348000,0.000000
2.352000,0.000000
2.356000,0.000000
2.360000,0.000000
2.364000,0.000000
2.368000,0.000000
2.372000,0.000000
2.376000,0.000000
2.380000,0.000000
2.384000,0.000000
2.388000,0.000000
2.392000,0.000000
2.396000,0.000000
2.400000,0.000000
2.404000,0.000000
2.408000,0.000000
2.412000,0.000000
2.416000,0.000000
2.420000,0.000000
2.424000,0.000000
2.428000,0.000000
2.432000,0.000000
2.436000,0.000000
2.440000,0.000000
2.444000,0.000000
2.448000,0.000000
2.452000,0.000000
2.456000,0.000000
2.460000,0.000000
2.464000,0.000000
2.468000,0.000000
2.472000,0.000000
2.476000,0.000000
2.480000,0.000000
2.484000,0.000000
2.488000,0.000000
2.492000,0.000000
2.496000,0.000000
2.500000,0.000000
2.504000,0.000000
2.508000,0.000000
2.512000,0.000000
2.516000,0.000000
2.520000,0.000000
2.524000,0.000000
2.528000,0.000000
2.532000,0.000000
2.536000,0.000000
2.540000,0.000000
2.544000,0.000000
2.548000,0.000000
2.552000,0.000000
2.556000,0.000000
2.560000,0.000000
2.564000,0.000000
2.568000,0.000000
2.572000,0.000000
2.576000,0.000000
2.580000,0.000000
2.584000,0.000000
2.588000,0.000000
2.592000,0.000000
2.596000,0.000000
2.600000,0.000000
2.604000,0.000000
2.608000,0.000000
2.612000,0.000000
2.616000,0.000000
2.620000,0.000000
2.624000,0.000000
2.628000,0.000000
2.632000,0.000000
2.636000,0.000000
2.640000,0.000000
2.644000,0.000000
2.648000,0.000000
2.652000,0.000000
2.656000,0.000000
2.660000,0.000000
2.664000,0.000000
2.668000,0.000000
2.672000,0.000000
2.676000,0.000000
2.680000,0.000000
2.684000,0.000000
2.688000,0.000000
2.692000,0.000000
2.696000,0.000000
2.700000,0.000000
2.704000,0.000000
2.708000,0.000211
